Número do empenho;Ano de exercício;Categoria do empenho;Data do empenho;Histórico do empenho;Valor do empenho;Valor liquidado R$;Valor pago R$
 3688; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 60.838,55; R$ 60.838,55; R$ 60.838,55
 3687; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 5.794,70; R$ 5.794,70; R$ 5.794,70
 3686; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 2.364,46; R$ 2.364,46; R$ 2.364,46
 3685; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 1.111,24; R$ 1.111,24; R$ 1.111,24
 3684; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 1.690,90; R$ 1.690,90; R$ 1.690,90
 3683; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 2.824,95; R$ 2.824,95; R$ 2.824,95
 3682; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 2.269,74; R$ 2.269,74; R$ 2.269,74
 3681; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 5.084,12; R$ 5.084,12; R$ 5.084,12
 3680; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 16.001,83; R$ 16.001,83; R$ 16.001,83
 3679; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 300,58; R$ 300,58; R$ 300,58
 3678; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 8.342,07; R$ 8.342,07; R$ 8.342,07
 3677; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 580.278,49; R$ 580.278,49; R$ 580.278,49
 3676; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 19.318,60; R$ 19.318,60; R$ 19.318,60
 3675; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 480,28; R$ 480,28; R$ 480,28
 3674; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 7.188,87; R$ 7.188,87; R$ 7.188,87
 3673; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 70.145,96; R$ 70.145,96; R$ 70.145,96
 3672; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 913,85; R$ 913,85; R$ 913,85
 3671; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 48.626,61; R$ 48.626,61; R$ 48.626,61
 3670; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 3.424,54; R$ 3.424,54; R$ 3.424,54
 3669; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 22.108,53; R$ 22.108,53; R$ 22.108,53
 3668; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 2.650,57; R$ 2.650,57; R$ 2.650,57
 3667; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 21.868,98; R$ 21.868,98; R$ 21.868,98
 3666; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 30.535,33; R$ 30.535,33; R$ 30.535,33
 3665; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 2.732,55; R$ 2.732,55; R$ 2.732,55
 3664; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 6.349,40; R$ 6.349,40; R$ 6.349,40
 3663; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 6.349,40; R$ 6.349,40; R$ 6.349,40
 3662; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 68.477,51; R$ 68.477,51; R$ 68.477,51
 3661; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 6.349,40; R$ 6.349,40; R$ 6.349,40
 3660; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 6.349,40; R$ 6.349,40; R$ 6.349,40
 3659; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 6.349,40; R$ 6.349,40; R$ 6.349,40
 3658; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 2.128,77; R$ 2.128,77; R$ 2.128,77
 3657; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 2.233,13; R$ 2.233,13; R$ 2.233,13
 3656; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 913,85; R$ 913,85; R$ 913,85
 3655; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 913,85; R$ 913,85; R$ 913,85
 3654; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 15.252,46; R$ 15.252,46; R$ 15.252,46
 3653; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 89.414,30; R$ 89.414,30; R$ 89.414,30
 3652; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 69.168,87; R$ 69.168,87; R$ 69.168,87
 3651; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 6.349,40; R$ 6.349,40; R$ 6.349,40
 3650; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 6.461,32; R$ 6.461,32; R$ 6.461,32
 3649; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 51.133,44; R$ 51.133,44; R$ 51.133,44
 3648; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 752.796,80; R$ 752.796,80; R$ 752.796,80
 3647; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 71.084,02; R$ 71.084,02; R$ 71.084,02
 3646; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 5.714,46; R$ 5.714,46; R$ 5.714,46
 3645; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 18.435,91; R$ 18.435,91; R$ 18.435,91
 3644; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 22.856,74; R$ 22.856,74; R$ 22.856,74
 3643; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 6.349,40; R$ 6.349,40; R$ 6.349,40
 3642; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 17.667,45; R$ 17.667,45; R$ 17.667,45
 3641; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 67.712,50; R$ 67.712,50; R$ 67.712,50
 3640; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 1.988,39; R$ 1.988,39; R$ 1.988,39
 3639; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 3.751,36; R$ 3.751,36; R$ 3.751,36
 3638; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 8.470,91; R$ 8.470,91; R$ 8.470,91
 3637; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 4.366,18; R$ 4.366,18; R$ 4.366,18
 3636; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 5.483,10; R$ 5.483,10; R$ 5.483,10
 3635; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 6.349,40; R$ 6.349,40; R$ 6.349,40
 3634; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 10.158,72; R$ 10.158,72; R$ 10.158,72
 3633; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 32,43; R$ 32,43; R$ 32,43
 3601; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE CARLÓPOLIS  PR. TRANSPORTE DE PACIENTES.  VEÍCULO  POLO (368) PLACA          SEZ-0E18 RD 1227/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3600; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA PR. TRANSPORTE DE PACIENTES.  VEÍCULO  MICRO (267) PLACA          BBP-1487 RD 1226/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3599; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA PR. TRANSPORTE DE PACIENTES.  VEÍCULO  VAN (329) PLACA          BEV-9G93 RD 1225/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3598; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE JACAREZINHO PR. TRANSPORTE DE PACIENTES.  VEÍCULO  POLO (371) PLACA          SEZ-0E21 RD 1224/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3597; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE ASSIS SP. TRANSPORTE DE PACIENTES.  VEÍCULO  POLO (372) PLACA          SEZ-0E22 RD 1223/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3596; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE CURITIBA PR.  AGENDA COM DEPUTADO TERCILIO TURINE, E SECRETARIO DE ESTADO MARCIO NUNES (SEAB). PARA TRATAR DE AS ASSUNTOS DE ESTRADA RURAL PARA SEU MUNICÍPIO. RD 1222/2025.; R$ 400,00; R$ 400,00; R$ 400,00
 3595; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA PR. TRANSPORTE DE PACIENTES.  VEÍCULO  POLO (370) PLACA  SEZ-0E20 RD 1221/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3594; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA PR. TRANSPORTE DE PACIENTES.  VEÍCULO  POLO (374) PLACA  SEZ-0E26 RD 1220/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3593; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA PR. TRANSPORTE DE PACIENTES.  VEÍCULO  POLO (372) PLACA  SEZ-0E22   RD 1219/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3592; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA PR. TRANSPORTE DE PACIENTES.  VEÍCULO  VIRTUS (345) PLACA  RHL-8E96   RD 1218/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3591; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA PR. TRANSPORTE DE PACIENTES.  VEÍCULO  SPIN (258) PLACA  BAW-6778   RD 1217/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3590; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA PR. TRANSPORTE DE PACIENTES.  VEÍCULO  POLO  (371) PLACA  SEZ-0E21   RD 1216/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3589; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE LONDRINA PR. TRANSPORTE DE PACIENTES.  VEÍCULO  POLO  (369) PLACA  SEZ-0E19   RD 1215/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3588; 2025; DIARIA; 27/05/2025; REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE ROLÂNDIA PR. TRANSPORTE DE PACIENTES.  VEÍCULO  AMBULÂNCIA  (406) PLACA  TBD-8B66   RD 1214/2025.; R$ 107,00; R$ 107,00; R$ 107,00
 3587; 2025; DIARIA; 27/05/2025;" REFERENTE A 1/2 (MEIA) DIÁRIA A CIDADE DE JACAREZINHO PR. TRANSPORTE DE PACIENTES.  VEÍCULO  POLO (368) PLACA   
 SEZ-0E18   RD 1213/2025."; R$ 107,00; R$ 107,00; R$ 107,00
